MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
368121820,2022-03-31T00:00:05,29.9516,-90.01587,0,360,304,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:01:16,29.9516,-90.01589,0.1,360,304,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:02:25,29.9516,-90.01589,0.2,360,304,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:03:46,29.95159,-90.01589,0,360,304,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:04:55,29.95158,-90.01589,0.1,360,304,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:06:06,29.95157,-90.01589,0.1,360,304,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:07:16,29.95158,-90.01587,0,360,304,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:08:26,29.95158,-90.01587,0.1,360,303,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:09:35,29.95157,-90.01587,0.1,360,304,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:10:45,29.95156,-90.01587,0,360,304,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:11:55,29.95158,-90.01587,0,360,303,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:13:06,29.95158,-90.01587,0,360,304,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:14:16,29.95157,-90.01587,0.1,360,303,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:15:25,29.95157,-90.01587,0.1,360,304,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:16:35,29.95159,-90.01585,0.1,360,304,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:17:45,29.95158,-90.01587,0,360,304,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:18:55,29.95158,-90.01585,0,360,304,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:20:05,29.95159,-90.01587,0,360,304,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:21:15,29.95158,-90.01587,0,360,303,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:22:25,29.95158,-90.01587,0,360,304,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:23:34,29.95157,-90.01587,0,360,304,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:24:55,29.95157,-90.01587,0.1,360,303,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:26:05,29.95158,-90.01585,0.1,360,304,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:27:16,29.95158,-90.01584,0,360,303,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:28:26,29.95157,-90.01584,0,360,304,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:29:35,29.95158,-90.01587,0.1,360,303,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:30:46,29.95158,-90.01587,0,360,303,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:31:56,29.95159,-90.01585,0.1,360,304,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:33:04,29.95158,-90.01585,0,360,303,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:34:15,29.95158,-90.01584,0,360,303,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:35:26,29.95158,-90.01585,0.1,360,303,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:36:36,29.95157,-90.01587,0,360,303,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:37:46,29.95157,-90.01585,0.1,360,303,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:38:56,29.95158,-90.01585,0,360,304,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
368121820,2022-03-31T00:40:05,29.95158,-90.01585,0,360,304,MICHAEL S,,WDL3461,52,0,32,12,0,52,A
